127.0.0.1 - - [04/Jun/2018:10:47:53 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [04/Jun/2018:10:47:54 +0900] "GET /HelloJSP/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:07:36 +0900] "GET /HelloJSP/ HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:12:07 +0900] "GET /HelloJSP/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:12:15 +0900] "GET /HelloJSP/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:12:18 +0900] "GET /HelloJSP/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:14:58 +0900] "GET /HelloJSP/ HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:19:19 +0900] "GET /HelloJSP/ HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:33:14 +0900] "GET /HelloJSP/greeting-out.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:34:10 +0900] "GET /HelloJSP/ HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:39:17 +0900] "GET /HelloJSP/greeting-out.jsp HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:39:41 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [04/Jun/2018:11:39:55 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 404 1063
